"County","Region","Super_Region","South_East","Country","Density","Mean_Age","Age_0_to_19","Age_20_to_29","Age_65_plus","Female","Cisgender","Heterosexual","Married","Cohabiting","Same_Sex_Couple","In_Migrant_UK","In_Migrant_Overseas","Born_in_UK","Born_in_EU","White_British_Irish","No_Religion","Christian","Communal_Resident","Lone_Parent_family","Household_5_plus","Detached","Flats","One_Bedroom","Crowded_Housing","Owned","Social_Rented","Private_Rented","Second_Address_UK","Second_Address_Overseas","Disabled","Poor_Health","Unpaid_Care_Provider","No_Central_Heating","Green_Central_Heating","Part_Time_Employee","Full_Time_Employee","Self_Employed","Unemployed","Student","No_Quals","Degree_plus","Extractive_Job","Productive_Job","Professional","Routine_Job","Cars_2_plus","Work_from_Home","Public_Transport"
"Lancashire","North West","North West","Rest of E&W","England",3364817.30000002,41.4999660382879,23.2504250131765,11.7183463966785,17.6207883202526,50.8014031494448,99.5269200954641,96.8501687962641,43.6315161247068,13.6858670356419,0.916487814027257,8.73950799288935,0.75314883891203,90.136097518921,3.84551579640365,83.3239721777749,33.1169041774806,55.6205218728241,2.2269202836079,11.2423627765893,6.67464018963832,21.7510253592418,12.6449413298767,9.01860811371094,76.5170267662553,67.0381736100086,12.728441320039,20.1660298489979,4.18886704590727,0.936889748094545,19.7906380132817,20.1216354163877,9.69863867745021,1.58444897242011,8.99313508198136,11.9108955052968,32.5390120445458,8.16211969913059,2.49395210208996,7.81986593325811,19.6950757105598,29.4941658545335,1.08475154717581,18.1012581882266,29.3807366264833,13.2541997190845,35.5268876866879,24.0723633111305,5.20392942567896
"Merseyside","North West","North West","Rest of E&W","England",1203728.59999999,41.0859796064192,22.3601581129864,13.2919174361302,16.755732860437,51.4706471297035,99.5096603557972,96.5220963082302,37.7711166221811,13.2383899735889,0.914230470145646,8.59167882465811,0.781777772731659,91.2170099514652,3.58945498795763,88.2346204487362,32.768624482344,63.1892060382064,2.15002315063652,14.1652440006442,5.53757994404923,13.6297310355935,17.8531164438718,9.38398899658237,78.9780963118054,59.2301200511514,20.4924448624743,20.1867605515846,4.35478488145382,0.855415464927966,22.2023074723405,21.6114282181209,10.66086120312,1.76114465544538,7.41420157415893,11.8975057083906,32.4019935226719,6.92478742269044,2.9432862758946,8.9327250069729,21.1256889701655,29.561276763431,0.35372106521491,14.5384181272399,28.2787926966781,13.3232059420095,27.6161746634305,25.6640995546409,10.6826462066814
"Berkshire","South East","South East","South East","England",1124937.29999999,38.270044029952,25.4469274806013,12.1624655758334,12.4704595935443,50.6020963328762,99.3942655084941,97.0827333761254,47.2683142100618,11.8577359354058,0.823935144323494,10.1468217271017,1.40113614646516,72.5329717236629,8.57258472689633,59.7717698366287,33.3949353179162,45.1817483534181,1.9074499257925,10.1000183061792,9.00473618169897,25.126226905552,24.7451331498314,12.7684289004566,68.3363731977154,63.283130023798,14.0008986669773,22.6181164605835,4.13989590640456,1.72428009118021,12.664541491031,13.2188296779268,7.1317574312184,1.37529331491621,7.4982109870359,11.217327414958,40.2360413688671,10.0814603639064,3.0139854431018,7.9067295640774,14.363599983993,40.7859458161591,0.48361926572966,13.0607602119919,40.0370084613636,9.24795348971222,42.9241860434155,41.383459789479,6.14598876697684
"Buckinghamshire","South East","South East","South East","England",87277.9999999996,39.8996569611183,24.8318433021202,10.7026337308469,14.7924331568943,50.96412732194,99.5062558901832,97.4171044296401,48.7454371263294,12.4802932366388,0.772959895220655,9.44557261716288,0.842119446222252,80.2539567668837,6.8152683531256,70.0847955931049,37.7228652256866,48.5705754642024,1.11267434635738,10.200911133038,7.73985544192184,32.1902648232013,17.5209189335093,10.1586539903428,74.0563236661368,67.7509522238551,14.6906397144828,17.4807305881294,3.26410661105676,1.31192732622498,13.9397337104142,14.191461174877,7.88068986515767,0.98671977158487,8.81599625706299,11.4243769725648,38.4018053691175,10.9811157552276,2.63203183339843,6.43626660920134,14.4499016799705,39.2480986971474,0.615917852016495,14.8655590066584,40.2600920348685,9.63911856036515,47.1610233032421,39.4558525257132,5.03054378742964
"East Sussex","South East","South East","South East","England",1215025.2,43.2040045348112,20.4910104549939,12.1187523998853,18.8553215481751,51.6728760052202,99.3876729420587,93.6454071853653,40.6776695285971,14.1923573112683,2.05925530495129,11.3315943527647,0.871736501561529,86.8554076615931,5.71083476515319,84.4814952980304,51.7050249528552,43.7538419062106,2.1279568964784,9.71495747182076,5.26443903518478,25.1023456516929,32.564726709449,16.1835241008846,68.4048782781637,63.5651238247506,12.3174715575115,24.0064837532744,4.86396500394921,1.55793183060939,19.7278084938332,18.937822543505,9.18460405465736,1.78022172556482,8.56420526210971,11.9220316122478,28.9092008949375,12.5731188802283,2.69161415807282,8.24604412747938,15.6533102558017,35.8361167229133,0.788203457806311,13.4997230920253,35.633606124413,8.52251430886897,32.5326466089294,35.3343674459256,7.08788930241836
"Hampshire","South East","South East","South East","England",5299269.00000019,41.5271641919587,22.3987077306322,12.2467928757246,17.0895734079298,50.8609799093025,99.5273786914479,96.673257101322,46.6443405691813,13.7039062840806,0.932327092987749,10.2158354717219,0.887768707253744,86.7882431781421,5.40565126237004,84.6858562653272,46.041030217737,48.7331662833671,2.02430588075715,9.50211494531291,6.01676003566404,27.9329457783825,21.8763689399444,11.5724861943943,74.1393260974881,66.1144853852556,15.3956662122778,18.3984981974762,4.70830137391843,1.20840229838655,16.6930506222074,16.4323246633431,8.2420804577016,1.38080047001587,8.56632274423303,12.1899796306257,35.7594880728764,9.47166075590099,2.30392102264873,7.45352683692904,15.3840559675139,33.4184184905596,0.72109769800021,15.973742036542,36.2342578676265,10.3984228712496,43.064855483733,32.5598103868759,4.35324567210509
"Isle of Wight","South East","South East","South East","England",14430,47.1706322084579,18.4067948654056,9.00974661645035,25.4173815846617,51.5239322506924,99.6342928326734,97.0212187159956,45.457817387206,13.5738463516003,0.884356656240627,9.67892276364471,0.485416009407176,93.8708965477962,2.82213568179067,94.3528004613446,46.9857872580142,51.0082901317743,2.09527335379007,9.61283151687301,4.53899833261286,34.0007719027403,20.6082593593207,10.9610189116171,77.054419143188,68.4353531455037,10.8946352759552,20.6561173292165,3.32196584056557,0.839390854270641,23.3203044348092,23.1683267003182,10.5294758611488,2.32981827726227,9.59718383794717,12.8160957987691,24.3987489965213,10.3032178217822,2.63831281776826,4.28485416109178,18.4503202716037,27.4137440837556,1.10337920674115,16.7596221919086,29.4426558514864,11.5374001756073,34.8251640293323,22.3139354170264,4.60196857192195
"Kent","South East","South East","South East","England",2631022.79999991,41.1713736250117,23.6526345964424,11.2264285144657,17.1455682697468,51.2074303739219,99.5323610248824,97.0548698521325,45.3768252504939,14.2926682684136,0.925899486978667,9.31989403208987,0.651109096305009,87.4594993628205,5.10400978535268,83.1298865748848,43.6871727382186,50.8482876812137,1.63424296438709,10.8286734407839,6.89372902546555,23.8153896366252,18.4830143883851,10.583113553692,73.7935745043746,67.287534003377,13.5550259195553,19.0812409274976,3.62120563882995,1.07923825576045,17.7813975743651,17.8572910374616,9.05138398603052,1.36540286293724,8.74871191513051,11.7776332683041,33.7851366448235,10.5360745668884,2.66146432561319,6.43869741383623,18.1663808702484,29.7622453927416,0.901523323606697,16.7118550781518,33.1912248453303,11.2290605632939,40.8471593997292,30.31369525486,6.30672891922301
"Oxfordshire","South East","South East","South East","England",498019.200000004,40.3047437179001,23.0248054897192,13.4142121075497,15.3693110137698,50.6176822576287,99.3783785234611,96.0873557930175,46.8782803238884,13.6157519165044,0.971594383201914,12.127288069041,1.59959453174822,81.2883638589699,7.59432063224191,77.7693673720377,42.9630046470025,50.84054768879,4.29772325866445,8.83661682424646,6.62216946422869,29.2612492537521,15.6885612339817,9.51966096164993,76.0311273242233,65.0922570702653,14.6649867410832,20.1837505379927,6.63884338997259,2.06758105700876,14.5434039578597,14.0162858545248,7.66389107538036,1.0808409317307,9.04102266850394,11.3355629127943,38.1997546342201,9.87193922995479,2.0007394585147,10.0383173957616,13.5142311673994,41.9985815888893,1.04202095562017,14.9070162927204,39.8984602664031,9.83332156937876,43.0493320236438,37.9484098901159,4.68436688218174
"Surrey","South East","South East","South East","England",2357191.1,41.1972576461172,23.7735535404078,10.5033621198394,15.9248115301178,51.2063349311408,99.6056799444589,97.3367189224995,50.000052817106,11.8711727404578,0.798911545079928,9.93133547381714,1.08504728767565,82.0772744085146,6.20871653998163,77.7479754603267,39.021051072859,53.4739457394654,2.32131725278653,8.83360764104363,6.41730763643005,32.1626187698988,22.6587438306068,11.3885089629093,74.8443911277518,71.6714921702313,11.4261697954609,16.8465074769362,4.5203755606313,1.77083021640617,13.8059695289708,13.5104740959064,7.95556446423108,1.01408006375878,8.25086755109834,11.118537407971,36.3388927734134,11.6566240282976,2.36930860033727,7.49331633282606,12.8561145900813,42.362443573845,0.615080845982128,13.0135568839523,43.856309960823,6.74944216511913,46.8516896561744,44.1320104693747,5.46072595952417
"West Berkshire","South East","South East","South East","England",5503.2,41.7471739951811,23.4107787695033,9.93638779289798,17.0569908390989,50.6333347785961,99.6571300095554,97.5310156448064,50.8363048764382,13.1346089604649,0.727154077423264,8.86275392493388,0.677758395388242,87.9526281233354,4.92734412744819,86.5033106840016,43.739319200037,52.2687833620354,1.77332639611516,8.58111554502085,5.74724714212848,33.0503007845902,16.2798721853013,9.81277566083591,76.9360016802184,68.8814545890966,13.9593147109124,17.1487293348135,4.31036618601655,1.18799861255636,14.6616867350478,14.3017299580673,7.85304757800154,1.04263554262054,9.21119745566924,11.9063463288893,39.3882374538195,10.4170969197702,2.11952239993269,5.23111284487176,14.1384163505079,37.0028148329458,1.06796588341069,14.6210482832357,41.5233753518541,9.37614735038551,49.647454169042,41.2941791099177,2.83433764214209
"West Sussex","South East","South East","South East","England",1218426.00000001,43.3719935651248,21.6365424311017,10.0512304600319,19.3888371523931,51.4297431900267,99.5998637710774,96.8739216224108,47.3511970221893,13.5225892495654,1.07465120416692,9.51452536006083,0.653283857725227,87.0932548449151,5.66390008587503,85.0062254085035,43.8003696590065,51.2135770058586,1.67388713412396,9.15729438729279,5.6434461400694,29.4164992084602,22.1569860720968,11.8992793484286,73.2567374525607,69.6923905163959,12.6889578269583,17.5426954074453,3.47182491443643,1.20451762082846,16.8692511530265,16.9579393618058,8.68757538916019,1.25741241688099,8.54336846874459,12.8548598714376,32.8184696294137,10.8423942193702,2.46658726644094,5.39829848800332,15.7600929701629,32.7334740721894,0.953236939655275,15.1702344691809,36.8021421557436,9.54012966258572,42.1302872737643,33.314707861455,5.06511199929622
"Bristol","South West","Central","Rest of E&W","England",146475.4,36.6451841629591,22.8377371589187,19.4588839879103,11.0803271332662,50.3618257437059,99.1141531909742,93.3692595406791,33.0665210034773,17.0004929455495,1.33841378115882,13.8645706496269,1.42606767829591,81.1696626811525,7.88382533161467,72.5426326071451,55.1910953954395,34.5707909699529,3.09377414199994,10.3418946138031,7.38941447200205,6.02698838434966,35.1720431229714,16.167461568165,65.6602552729626,54.830461599474,18.7222784625179,26.2020058652251,7.93773083720487,1.58805414157662,17.1777440069762,16.4587853068481,7.60834268335562,1.62285141777727,7.19011886995272,12.0405534400115,37.1106058895378,9.25256858981597,2.51367690681228,13.7066726882692,14.5383209993123,42.1099900438277,0.194961196432839,12.0892712643967,35.8512014123395,11.3505496422963,28.0306825297433,38.5837071820888,7.28726437244248
"Cornwall and Isles of Scilly","South West","Central","Rest of E&W","England",25238.4000000001,44.8157669446958,20.3741720639391,10.0094870858573,22.1008915764112,51.4947786267011,99.6287394641532,96.7948674490236,46.2237290437011,14.4316817230947,1.00055586436909,9.78023797862632,0.469509208722829,94.7120138934995,2.67282136579809,94.0443077783213,49.6137427448043,48.7009923235349,1.37711013037295,9.27682959805309,5.29702045084917,37.1513556073391,12.8725037180782,9.26768359604893,76.3530950894508,67.3391073360056,12.8050041356493,19.7695966151301,4.18951076074764,0.717383176263807,21.1168534378833,20.7191640211825,10.0142849565324,3.55539472794729,13.3817406760857,12.9002366671258,26.7838732432579,12.3171256005376,2.14857853633696,5.9244000884893,16.3062057163131,30.5840490029322,3.2640194235589,17.1432487468672,29.5911978562305,12.2490378916261,42.7792027040461,24.7314564984982,2.13814952165758
"Devon","South West","Central","Rest of E&W","England",1873714.20000001,44.0956842983283,20.6927300037675,11.3004193627463,20.9437882818631,51.3200659066399,99.5842216154891,96.5070647381331,45.7108076926571,14.0277033362908,1.03117861818431,10.4155193120517,0.679869815339495,92.4238435873306,3.52879432997493,92.3495375321227,48.4121890144828,49.3016234200142,2.37566620244657,9.17365956154596,5.34297295411121,28.9195418776077,18.5821745723965,10.8005386971677,76.4043057643449,66.6210838033084,12.6308542542958,20.6733689194032,5.10094541470168,0.982349462060433,20.4785391944116,19.5976170929653,9.78452225920031,2.19062223555131,10.1237529919705,12.8723674617636,28.8913681496113,10.6367153654963,2.05314187422298,7.41864803099926,16.4222088338439,30.8570284734174,2.58518491581512,16.3871413505946,31.1612106844492,11.8677180250528,39.1954263640462,26.4494756287364,4.19321289346599
"Dorset","South West","Central","Rest of E&W","England",222836,44.8687638662683,20.0507324529962,10.6216264393538,21.6440084793473,51.2958225129044,99.600789703506,96.6865528309829,46.690403028418,13.1000647071143,1.0790770952445,10.7370644903954,0.728699189199323,88.8849561153773,5.30924424062418,88.5392581193293,44.1471686855481,52.6715636741579,2.35580776506043,8.75538832362293,4.85371526502632,38.0961402261129,26.2886072112456,12.2499657537241,73.3498299334598,67.3911332748475,11.6402363138766,20.9161680311743,4.6494181013754,1.10134333621878,19.0971754672822,18.8229938123177,9.23267097749885,1.4482658117167,8.98688429029438,12.4363588750442,29.7382187793084,10.1580675022229,2.19318278705497,6.68125235989817,15.8570971818334,31.7801190603066,1.44147199728664,16.4570879439239,34.2804898844107,10.3357449970159,41.3453103004054,28.9837172033498,3.71499877052308
"Gloucestershire","South West","Central","Rest of E&W","England",1184509.6,42.150837630519,22.0887462199318,11.5174895964614,17.9014622142835,50.933939070016,99.577700735976,96.9910202785427,47.3429433438492,14.3632308495112,0.925638967692035,9.60827399235456,0.645825553711231,89.8241927156544,4.65915492355531,87.689071228677,45.6400659702132,50.7562883554373,1.66242650988776,9.09145792351926,5.42155945301416,29.7921902160105,14.0898605629303,9.29668024219617,78.827867945222,70.4338551401281,12.4275210110457,17.0661763041187,4.39090925610983,0.9340449662801,16.6549616835507,16.6394619342191,8.51200299398498,1.14256390131991,9.5603569065749,13.1307396069912,35.5841341281514,9.90226751830697,1.98349383877389,6.2886863153737,14.8829075109661,34.8018834584122,1.23720293195708,17.4273437618141,36.4379197486673,10.9012196342007,45.492667220084,33.4633124142624,2.96285574791855
"Somerset","South West","Central","Rest of E&W","England",225200.700000001,43.6048090047876,21.5026566485482,10.9081500435984,20.2690671577935,51.1917774031385,99.6074220628801,96.9513778484367,47.2484356629941,13.9359308793287,0.919216595586104,9.99347322222394,0.771907103909386,90.79989202349,4.78947127162713,90.5069345054676,46.6805427376441,51.1860113495788,2.02835334828045,8.81422766432636,5.24364531694409,30.7433970184876,16.0822899297899,9.75649446363926,78.0772133389934,68.9308001075426,12.8209179798971,18.1737567744766,5.00793025854578,1.12246010168252,18.2162302571599,18.0903242893596,8.94867554981315,1.39757558605726,10.0287722277251,12.8114848220157,31.7893631429665,10.4803172017156,1.92472838621664,6.81561668842194,15.641197708812,33.0797928656166,1.92020209460835,17.4508087684102,34.2437016026931,11.8778891168013,43.4738927409084,29.9948435292792,2.55266413465726
"Wiltshire","South West","Central","Rest of E&W","England",138201.599999999,41.8510010084034,22.6758131830307,10.7710448756561,17.2951983478186,50.5516712829752,99.5726904501446,97.2077973743535,49.4598297849419,13.3081512005279,0.851580279831401,9.53764248025943,0.757315581642529,86.7987468739075,4.98561325194288,85.642506023578,43.5986455788436,52.1392139213921,1.79780568478232,9.16376687613767,5.85085513240241,31.1896392586423,13.5143740171028,8.50579370362866,77.8435275918738,67.0732805474976,14.8490715310251,17.9911366106862,3.93186893859841,0.935941581971192,16.614654832798,16.4927938817575,8.5988689658305,1.10953168114954,9.80440082073184,12.4872786652701,37.8728773721063,9.50788846461531,2.21949147649955,4.98857760220366,15.3132705994903,32.2335942203492,1.38866754364403,16.8071721261659,35.8546180300694,12.334705120698,44.8397294681019,32.9511198988688,3.84190466414736
"Herefordshire","West Midlands","Central","Rest of E&W","England",4547.4,45.4125075519009,19.8312597242198,9.53147305555704,22.4163650264926,50.8891431504432,99.6306599827233,97.6256441513825,48.8123070564073,13.2396440150351,0.804712021596766,8.97271423797152,0.608027253420153,91.4048172801882,5.40914802042398,91.5062663073699,39.3371708258652,58.9491704582012,1.27409989627554,8.83560320679996,4.9210411937992,42.3774856025209,12.0455889987564,9.48845183333937,78.4055923792966,67.4647156120589,13.6537602472624,18.8404747244256,3.37639145823754,0.89288578547216,18.6212132553439,19.1719152667429,9.28137510148092,1.86654110374636,13.6923949919712,12.5175012091745,30.4368301809943,12.2686658350941,2.03714074790622,4.58595321131278,18.0197666944563,32.7238708609904,5.5664139730887,20.5077220295324,32.8931542069457,12.3099539880229,45.627633501153,25.5538859576776,1.24846060852569
"Shropshire","West Midlands","Central","Rest of E&W","England",68847.8999999996,43.2192421989625,21.6635994571334,10.7581474185356,19.7195712846338,50.6983248452804,99.6209276183467,97.3338106867496,46.9856960619304,14.496742931701,0.917460117283561,9.32972055832834,0.588298256115884,92.095799444954,3.99472058167877,89.9701463223019,40.7568673960485,55.8168861134676,1.81421082712851,9.6308877021186,5.87859631910926,37.5608537104567,9.30760972178516,7.11829738397249,80.6450120089408,66.36370367628,14.7870312095072,18.7719817851986,4.07033725034224,0.752827768797616,18.9564486414506,19.1327848342424,9.85818913347901,1.25087348268538,11.6498294684135,12.1390304455769,33.3050615920079,9.84260480144447,2.34441633108822,5.59162776332514,17.8749355576726,30.2445363597272,3.17722519250815,19.7837856013988,32.0708636537498,13.2145937123593,43.8296257560542,26.0402656355077,2.80977979900723
