LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01006524,1300,640,600,61,1.4324082,29.1314374,21.7692308,7,8,233
E01034402,1099,585,470,484,4.9808429,6.9028156,20.4731574,17,17,146
E01006753,1867,795,805,93,3.1734838,11.2955032,23.7814676,10,35,131
E01006424,1925,799,1054,92,2.2632519,20.9157128,17.8181818,10,8,307
E01006791,1642,833,615,97,3.5320088,19.6341463,30.0852619,27,27,101
E01006638,1299,561,432,70,4.5454545,14.2746914,27.0977675,8,25,66
E01006526,1381,642,725,51,1.6267123,21.3872832,20.2751629,10,3,299
E01006843,1228,551,512,34,1.4792899,26.182708,23.9413681,8,9,95
E01034403,1234,637,559,166,6.3969897,12.3176661,21.2317666,12,28,143
E01006754,1798,837,644,90,6.1074319,14.118955,26.4182425,22,31,97
E01006639,1618,657,738,140,4.2813456,13.5519802,18.9122373,5,29,198
E01006755,1574,660,611,85,5.1851852,15.6091371,26.2388818,9,33,77
E01006914,1287,536,576,59,0.9319664,29.9377916,15.1515152,0,1,187
E01006550,1787,498,602,1067,1.257485,6.057207,14.3256855,10,20,199
E01006665,1479,627,764,77,2.184466,16.4189189,19.2697769,13,20,193
E01006529,1342,540,689,73,2.5617566,15.5505952,16.0208644,14,12,250
E01006644,1948,915,879,97,2.5031289,13.470437,26.5913758,17,28,175
E01006502,1645,763,735,50,1.8584703,28.6322188,21.7021277,20,12,176
E01006756,1762,730,678,94,4.3478261,11.854793,24.3473326,7,39,78
E01006915,1478,663,632,74,2.32,23.5772358,26.7253045,5,18,127
E01006557,1895,582,647,1080,1.8835616,5.1633298,14.9868074,14,23,174
E01006551,1232,792,468,87,2.3478261,31.5235008,34.9837662,18,11,150
E01006916,1517,666,706,76,2.5437202,18.3322303,23.2696111,7,14,188
E01006503,1235,550,540,53,0.8474576,29.9512987,20.0809717,7,5,161
E01006421,1116,439,623,64,1.910828,14.1450313,13.3512545,3,6,177
E01006721,1579,815,586,208,4.1503524,10.4126984,26.4724509,27,46,124
E01006645,1516,687,517,64,5.4263566,17.5577558,29.4195251,10,25,79
E01006554,1666,630,658,651,3.125,10.3179364,17.5870348,18,24,242
E01006757,1468,602,568,74,4.6875,13.2472826,22.2070845,9,28,92
E01006666,1366,507,734,79,2.4171889,14.9560117,15.22694,5,4,222
E01006917,1723,706,870,72,1.217765,22.0348837,15.4381892,4,4,280
E01006425,1276,556,613,74,2.8756957,17.3197492,20.7680251,9,9,169
E01006918,1277,519,649,72,2.6390198,18.0751174,19.1072827,5,9,167
E01006667,1438,630,578,98,3.2472939,23.713491,26.5646732,12,16,120
E01006430,1524,689,595,56,3.1026253,23.2329843,30.3149606,12,24,129
E01006919,1794,750,765,91,4.2709867,11.1420613,25.0278707,12,30,137
E01006758,1438,627,547,53,5.2914798,16.400278,27.1210014,16,23,74
E01006542,1569,588,613,95,3.6565978,13.3247918,25.5576801,18,30,96
E01006525,1187,471,559,56,0.9375,23.8416175,17.4389217,8,3,238
E01006668,1504,581,808,96,2.2804054,10.89701,15.4255319,7,10,221
E01006722,2004,563,629,1149,1.0958904,4.1958042,12.6746507,12,41,154
E01006433,1575,700,733,81,2.2438295,21.0659898,23.9365079,12,18,171
E01006810,1153,497,516,46,1.8719212,31.7515099,21.6825672,5,5,108
E01033758,1959,491,524,1352,2.3425299,2.4477307,14.7524247,25,22,121
E01006558,1304,614,481,92,6.2317429,11.6923077,24.5398773,20,55,78
E01006595,1756,795,895,73,2.4288688,19.7150997,17.7107062,21,8,344
E01006670,1463,611,720,60,2.2690438,18.852459,19.822283,8,7,201
E01006723,1951,694,624,956,2.8716216,8.9835729,17.5294721,28,44,147
E01006419,1388,623,755,92,2.3966942,18.7185025,16.4985591,15,12,184
E01033760,2480,439,727,1961,1.5390846,0.6454215,11.1693548,21,9,175
